Company name;Avatar;Founded;Headquaters;Ownership;Employees;Company URL;Type;Describtion
Candygun Games ;http://media.giantbomb.com/uploads/8/86192/1828304-0000082158_large.jpg;;Hamburg, Germany;Independent;;http://www.candygun.de/;Developer;A small independent German developer that aims to create multi-platform titles. They claim to love videogames, a passion only topped by the impulse to create them.
Capcom;http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Capcom_logo.svg/220px-Capcom_logo.svg.png;06/11/1983;Osaka, Japan ;Public;1930;http://www.capcom.com/;Publisher & Developer;Capcom Co., Ltd. (株式会社カプコン Kabushiki-gaisha Kapukon?), or just Capcom, is a Japanese developer and publisher of video games,  known for creating multi-million-selling franchises such as Resident Evil, Street Fighter, Ace Attorney, Darkstalkers, Dead Rising, Devil May Cry, Ghosts'n Goblins, Lost Planet, Mega Man and Monster Hunter.  Its head office is in Chūō-ku, Osaka. Originally established in 1983,  it has since become an international enterprise with branches and subsidiaries in North America, Europe, and East Asia
Capybara Games ;http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/CapybaraGamesLogo.png/100px-CapybaraGamesLogo.png;01/01/2003;Toronto, Ontario, Canada;Independent;;http://www.capybaragames.com/;Developer;"Capybara Games is an award-winning independent game studio based out of Toronto, Canada. It focuses on the development of iPhone, Nintendo DS, and downloadable console games. The studio was founded in 2003 from a collection of Toronto IGDA members. 

Capybara's mascot is a mustachioed man named Hank Hudson, who can be found in most of their games"
Carbon Games;http://media.giantbomb.com/uploads/1/11157/1832836-carbon_games_logo_big_large.png;07/04/2011;Seattle, USA;Independent;;http://www.carbongames.com/;Developer;Carbon Games is an independent development studio started by many of the core members of now-shuttered Titan Studios, which previously shipped Fat Princess for the PS3. It was founded on July 4, 2011.
Cat Daddy Games ;http://media.giantbomb.com/uploads/0/497/247298-new_logo_large.jpg;;Kirkland, Washington ;subsidiary of Take-Two Interactive Software, Inc ;;http://www.catdaddy.com/;Developer;"Cat Daddy Games is an American video game developer based in Kirkland, Washington that has developed games for publishers Take-Two Interactive, Activision, Electronic Arts, Sierra Entertainment, and Microsoft. Cat Daddy is currently a wholly owned subsidiary of Take-Two Interactive Software, Inc. and is known for its Carnival series of games for the Wii, contributions to the Tycoon games series and its production of value (lower cost) titles.

Cat Daddy has had a modest hit with the release of Carnival Games® for both the Nintendo DS™ and Nintendo Wii™, with the former shipping over 7 million copies world-wide, making it one of the biggest titles for the Nintendo Wii™ in 2007-08, as well as being certified gold. Carnival Games®: Mini-Golf was released in 2008, to similar numbers. A true sequel, New Carnival Games® was released on Sept. 21, 2010. In 2011, Cat Daddy Games did their first XBox™ Kinect® game Monkey See Monkey Do™ Carnival Games®, and the following year in 2012 produced their first Nintendo 3DS™ game: Carnival Games® Wild West 3D"
Cauldron HQ ;;01/01/1996;Bratislava, Slovakia ;Independent;64;http://www.cauldron.sk/;Developer;"Cauldron is a game developer located in Bratislava, Slovakia. The studio was founded in 1996 with their first project, Quadrax being released in the same year. According to the official website, Cauldron currently has 64 employees divided into 2 separate teams. Cauldron is also responsible for the creation of the Cloak Engine in 2001 which at the time was considered the best on the market.[citation needed] The engine was later renamed to the CloakNT engine.

The company's recent games have been published by Activision Value."
Cavedog Entertainment ;http://upload.wikimedia.org/wikipedia/en/a/a9/Cavedog_Entertainment_Logo.jpg;01/01/1996;Bothell, Washington, USA ;Defunct 2000;;;Developer;Cavedog Entertainment, or Cavedog, was a video game developer based in Bothell, Washington. Cavedog gained the attention of gamers and the gaming press alike with the 1997 release of Total Annihilation (TA), winning many accolades such as multiple Game of the Year honors  or being one of The Greatest Games of All Time.
CCP Games ;http://upload.wikimedia.org/wikipedia/commons/1/16/CCP_hf-logo.jpg;06/01/1997;Reykjavík, Iceland ;Public;600;http://www.ccpgames.com/;Publisher & Developer;CCP hf or CCP Games (Crowd Control Productions) is an Icelandic video game developer and publisher, majority owned by the company's staff and founders, Novator Partners and the American investment fund General Catalyst Partners.  CCP is a sponsoring member of the Python Software Foundation.
CCR ;http://media.giantbomb.com/uploads/13/136140/2089053-605314_thumb.jpeg;;;;;http://www.ccr.co.kr/index_en.html;Developer;
CD Projekt RED;http://upload.wikimedia.org/wikipedia/en/thumb/4/4c/CD_Projekt_RED_logo.png/250px-CD_Projekt_RED_logo.png;02/01/2002;Warsaw, Poland;Private company;102;http://www.cdprojektred.com/;Publisher & Developer;"CD Projekt RED S.A. (Polish pronunciation: [ʦ̑ɛ‿ˈdɛ ˈprɔjɛkt rɛd]; WSE: CDR) is a Polish video game publisher and developer. The company was founded in February 2002 as a development studio of CD Projekt Sp. z o.o.. The first game the unit produced is The Witcher, based on Andrzej Sapkowski's books.

In February 2008, CD Projekt RED's parent company CD Projekt Sp. z o.o. acquired Metropolis Software development studio, which was subsequently merged with CD Projekt RED"
CDV Software;http://upload.wikimedia.org/wikipedia/en/8/8e/Cdv.png;01/01/1989;Bruchsal, Germany ;Public;100;http://www.cdvusa.com/;Publisher;"cdv Software Entertainment AG is a German publisher of video games, specializing in strategy titles for the PC. cdv was founded in 1989 in Karlsruhe, Germany by Wolfgang Gäbler and Christina Oppermann. In April 2000 cdv became listed on the Frankfurt Stock Exchange. They also have a wholly owned subsidiary, CDV USA in Cary, North Carolina, USA.

Major cdv-published titles include Beyond Divinity, Cossacks: European Wars, Cossacks 2, American Conquest, Divine Divinity, Sudden Strike, Blitzkrieg, the Lula games, Codename: Panzers Phase One, Codename: Panzers Phase Two, Darkstar One, and War Front: Turning Point.

Additionally CDV USA published Divinity II: Ego Draconis in America.

cdv has also published adventure games such as The Mystery of the Druids."
Cenega Publishing ;http://media.giantbomb.com/uploads/13/136140/2089070-447517_large.jpeg;;;;;;Publisher;
Chaos Concept ;http://media.giantbomb.com/uploads/13/136140/2089162-486605_large.gif;;;;;http://ufo.ufo-extraterrestrials.com/;Developer;"A Czech based game company. They are currently working on the prequel to UFO: Extraterrestrials, titled UFO2 Extraterrestrials: Shadows over Earth.

They started work on their first game UFO: Extraterrestrials sometime in 2002, which they finished in 2007. They have been working on UFO2 Extraterrestrials: Shadows over Earth since early 2009. They worship the Gollop brothers for developing X-COM:UFO Defense, published by Microprose. They state this on the official website for this game in the About Us section.
"
Chris Sawyer;;;;;;http://www.chrissawyergames.com/;Developer;Chris Sawyer is a Scottish computer game developer who is best known for designing and programming Transport Tycoon and the RollerCoaster Tycoon series.
City Interactive ;http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/City-Interactive-Logo.jpg/200px-City-Interactive-Logo.jpg;01/01/2002;Warsaw, Poland ;Public;150;http://www.city-interactive.com/;Publisher & Developer;"City Interactive is an international publisher and the largest Polish developer of computer and video games for platforms including Xbox 360, PlayStation 3, Nintendo Wii and Nintendo DS. The company was created in 2002 by combining a publishing house with two computer game developer studios. The long-term strategy served to guarantee the company's expansion to international markets. City Interactive are known for creating the Sniper: Ghost Warrior series.

Apart from the company's headquarters in Warsaw, City Interactive has opened studios in Rzeszów, Katowice, Bydgoszcz, Poznań and more recently in Bucharest, Romania as well as offices in Germany, London, the United Kingdom,  and the United States."
Climax Group ;http://media.giantbomb.com/uploads/3/38137/1115710-climax_group_thumb.gif;01/01/1988;Portsmouth, Hampshire.;Independent;;http://www.climaxgroup.com/;Developer;"Climax Group is a British independent video game development company. It was founded by Karl Jeffery in 1988 and is based in Portsmouth, Hampshire.

Former studio Climax Racing (formerly Climax Brighton) was acquired by Disney Interactive Studios  and rebranded Black Rock Studios. Climax is now a single studio, the Portsmouth-based Climax Studios. The company is known to be developing two unannounced titles, which will be published by Konami. No word is known on what these titles could be, or if they are new or existing IP's"
ClockStone Software;http://media.giantbomb.com/uploads/0/960/622088-clockstone_large.jpg;01/01/2006;Innsbruck, Austria ;Independent;;http://www.clockstone.com/;Developer;"ClockStone Software is an Austrian video game developer founded in 2006. They specialize in the independent development of video games and 3D multimedia applications.

ClockStone Software is currently licensed to produce games for PC (Microsoft Windows XP/Vista/7), Microsoft XBox 360, and Nintendo DS/DSi.  They also offer services in 3D animation production, as well as interactive 3D applications for purposes such as virtual inspections of buildings, 3D presentations of products or services, and the demonstration of complex processes for training lessons"
Code Force ;http://media.giantbomb.com/uploads/13/136140/2089701-1241978_thumb.jpeg;;Auckland, New Zealand ;Independent;;http://codeforce.co.nz/;Developer;Code Force Limited is a software development company based in Auckland, New Zealand. 
Codemasters;http://upload.wikimedia.org/wikipedia/en/thumb/7/78/Codemasters-logo.png/300px-Codemasters-logo.png;01/01/1986;Warwickshire, United Kingdom;Private company;800;http://www.codemasters.com/;Developer;The Codemasters Software Company Limited, or Codemasters (earlier known as Code Masters) and now known as Codemasters Racing is a British video game developer founded by Richard and David Darling in 1986. Codemasters is one of the oldest surviving British game studios, and in 2005 was named as the top independent games developer by Develop magazine.
Coffee Stain Studios ;http://media.giantbomb.com/uploads/1/15462/1761242-coffee_stain_studios_large.jpg;01/01/2010;Skövde, Sweden ;Private company;;http://www.coffeestainstudios.com/;Developer;"Coffee Stain Studios is a swedish game developer focusing on computer and mobile games. The company was founded in 2010  by students from the University in Skövde where the company is also located. In 2010 a game called I Love Strawberries was released for iOS through App Store.  On the 15th of April 2011 Sanctum was released for Microsoft Windows through Steam .

I Love Strawberries was distributed by Atari. Sanctum was initially developed like a modification for Unreal Tournament 3. The modification entered in the ""Make Something Unreal"" competition held by Epic Games in 2009. The game was awarded with multiple honors and was the start of what would become Coffee Stain Studios.

The company signed a five year agreement with Epic Games to develop games using Unreal Technology."
Colossai Studios ;http://www.colossai.com/logo.png;;;;;http://www.colossai.com/;Developer;
Colossal Order;http://media.giantbomb.com/uploads/13/136140/2090664-1285370_large.png;01/01/2009;Finland;Independent;;http://colossalorder.com/;Developer;Colossal Order Ltd. is an independent game studio situated in Finland. It was founded in 2009 by people, who were experienced developers and fans of the Real-Time-Strategy video game genre. Their first game, Cities in Motion, were released in 2011. 
Core Design ;http://upload.wikimedia.org/wikipedia/en/3/30/Classic_Core_Design_LTD_log.png;01/01/1988;Derby, United Kingdom;Defunct 2006;;;Developer;Core Design was a British video game studio best known today for creating the popular Tomb Raider series.
Criterion Games;http://upload.wikimedia.org/wikipedia/en/8/84/Criterion_Games_Logo.png;01/01/1993;Guildford, Surrey, United Kingdom ;Subsidiary of Electronic Arts;;http://www.criteriongames.com/;Developer;Criterion Games (officially called Criterion Software) is a Guildford based British video game developer. It is best known for its work on the award-winning, multi-platform Burnout series, the PS2, GameCube and Xbox (also on the Xbox 360's Xbox Classics download service) first-person shooter Black and Need for Speed: Hot Pursuit.
Croteam ;http://upload.wikimedia.org/wikipedia/en/thumb/8/82/Croteam_logo.png/250px-Croteam_logo.png;01/01/1993;Zagreb, Croatia;Public;;http://www.croteam.com/;Developer;"Croteam is a video game developer established in Zagreb, Croatia in 1993, initially as a ""garage games"" company. They only had six employees and four contractors for the development of Serious Sam: The First Encounter in 2001."
Cryo Interactive ;http://upload.wikimedia.org/wikipedia/en/9/98/Cryo_Interactive_Entertainment_logo_%281998-2002%29.jpeg;01/01/1992;Paris, France;Subsidiary of Microïods;;http://www.microids.com/;Publisher & Developer;Cryo Interactive Entertainment is a French video game development and publishing company founded in 1992, but existing unofficially since 1989 as a developer group under the name Cryo. In 2008 Microïds acquired Cryo.
Cryptic Studios;http://upload.wikimedia.org/wikipedia/en/d/da/Cryptic_Studios_logo.png;01/01/2000;Los Gatos, California;Subsidiary of Perfect World;200;http://www.crypticstudios.com/;Developer;Cryptic Studios, a wholly owned Perfect World subsidiary,  is an American massively multiplayer online role-playing game developer headquartered in Los Gatos, California.
Crystal Dynamics;http://media.giantbomb.com/uploads/0/5327/259448-cd_01_large.jpg;01/01/1992;Redwood City, California, U.S.;Subsidiary of Square Enix;;http://www.crystald.com/;Developer;Crystal Dynamics is an American video game developer based in the San Francisco Bay Area and founded in 1992 by Judy Lang, Madaline Canepa and Dave Morris.  It was acquired by Eidos Interactive, a British video game publisher, in 1998 and, following Square Enix's acquisition of Eidos in 2009, is now a subsidiary of Square Enix
Crytek;http://upload.wikimedia.org/wikipedia/en/thumb/6/60/Crytek_logo.png/250px-Crytek_logo.png;01/01/1999;Frankfurt, Germany;Public;600;http://www.crytek.com/;Developer;Crytek is a video game company founded in 1999 by three Turkish brothers: Cevat, Avni and Faruk Yerli. Crytek's main headquarters are in Frankfurt, with five other studios in Kiev, Budapest, Nottingham, Sofia and Seoul.  The company is best known for developing the game Far Cry and the CryEngine that the game uses, and later Crysis and CryEngine 2. Their most recent major product is Crysis 2 and its supporting CryEngine 3. Crytek has partnerships with Electronic Arts, Ubisoft, THQ, NVIDIA, Intel, AMD, FMOD, Scaleform, Xoreax Software, Sparkasse Coburg, and Rating Services.
Cyanide;http://media.giantbomb.com/uploads/2/28452/1040762-logo_intro_large.png;01/01/2000;Nanterre, France;Public;70;http://www.cyanide-studio.com/;Developer;"Cyanide is a game development studio, based in the western suburbs of Paris, France, with offices in Montreal, Canada and Chengdu, China. The studio was created in 2000 by 8 ex-UbiSoft employees and in 2007 has a headcount of 70. It both develops and offers engineering services for the Sony PSP and PS2, the Nintendo Wii and DS, the Microsoft Xbox 360 as well as the Windows PC platforms.

Best known for its sport management sims (Pro Cycling Manager, Horse Racing Manager and Pro Rugby Manager), Cyanide broke the mould with its 2004 release of a heroic fantasy/RTS game called Chaos League.

In June 2007, the studio released its seventh edition of Pro Cycling Manager as well as an action/RPG called Loki. In September 2007, the studio released its first PSP title called Pro Cycling.

On November 14, 2007, Cyanide announced they would be remaking Blood Bowl for the Xbox 360, Nintendo DS, and PlayStation Portable. 

On June 8, 2009, Cyanide and George R. R. Martin announced a partnership to create a Real-time strategy game and a Role-playing game based on Martin's A Song of Ice and Fire books.  The strategy game was released in 2011 and is entitled A Game of Thrones: Genesis, while the role-playing game will be released in 2012 and is entitled simply Game of Thrones.

On May 4, 2011 it was announced that Cyanide are currently developing Of Orcs and Men, an upcoming fantasy RPG that is expected to release in Q2 2012."
Cyberlore Studios ;http://media.giantbomb.com/uploads/0/2891/811041-cyberlore_large.jpg;;Massachusetts, United States.;Independent;;http://www.cyberlore.com/;Developer;"Cyberlore Studios was a developer of computer games based in Northampton, Massachusetts, United States. The company was founded by Lester Humphreys, Ken Grey, and Herb Perez. Since 1992, they produced expansion packs for MechWarrior 4, Heroes of Might and Magic II, and Warcraft II: Tides of Darkness. They also produced Playboy: The Mansion (2004), a simulation game based on the life of Hugh Hefner and Playboy, and a PlayStation 2 version of the classic board game Risk. Their most notable game is Majesty: The Fantasy Kingdom Sim, whose original concept was created by Jim DuBois, who worked as a senior designer there. 

In 2005, Cyberlore ceased development of general entertainment games after the collapse of their publisher, Hip Games, and the subsequent layoff of 2/3 of their staff. The company refocused on the serious game corporate training market, under the new company name of Minerva."
Cyparade;http://media.giantbomb.com/uploads/13/136140/2095978-448959_thumb.gif;;Berlin, Germany;Independent;;http://www.cyparade.com/;Developer;
D3 Publisher ;http://upload.wikimedia.org/wikipedia/en/c/c7/D3_publisher.gif;02/05/1992;Tokyo, Japan ;Public;;http://www.d3p.co.jp/;Publisher;"D3 Publisher Inc. (株式会社ディースリー・パブリッシャー Kabushiki-gaisha D3 Paburisshā?) is a Japanese video game publisher founded on February 5, 1992.  Current CEO and president is Yuji Ito, and It is known for its Simple series of low-priced video games. Their games have been released for the Game Boy Advance, Nintendo DS, Nintendo 3DS, PlayStation Portable, PlayStation Vita, PlayStation 2, PlayStation 3, Nintendo GameCube, Wii and Xbox 360. The name stands for ""Domain 3"" and refers to the three publishing ""domains"" the company originally intended to enter - video games, music and books - although the company now exclusively publishes video games.

During 2007, D3 Publisher acquired game studio Vicious Cycle Software. In 2009, Namco Bandai Holdings gained a controlling share of D3 and currently owns 95% of its stock"
Daedalic Entertainment ;http://media.giantbomb.com/uploads/7/73888/1652635-daedalic_thumb.jpg;;Hamburg, Germany;Private company;;www.daedalic.d;Publisher & Developer;Based in beautiful Hamburg, Daedalic is one of Germany’s most acclaimed and decorated publishers and developers, garnering numerous awards for adventure game milestones Edna & Harvey: The Breakout, The Whispered World and A New Beginning. In its internal studio, Daedalic is currently developing a host of new and innovative games that include the upcoming english versions of Deponia, The Dark Eye: Chains of Satinav and Edna & Harvey: Harvey’s New Eyes, as well as several unannounced titles for PC, mobile devices, social networks and the browser.
Dark Energy Digital ;http://upload.wikimedia.org/wikipedia/en/c/c3/Dark_Energy_Digital.PNG;01/01/1998;Manchester, England;Defunct;;http://darkenergydigital.net/;Developer;Dark Energy Digital,  was a privately owned video game developer and publisher based in the United Kingdom. It was formed from members of Blade Interactive, which continues to operate as a separate company.  On September 28, 2007, following the public announcement of Hydrophobia, it was announced that a deal had been made between Blade Interactive and Total Asset Limited and was to become a publisher in its own right and publish its own titles.  On March 19, 2012, it was announced the company was to close due to low sales of Hydrophobia
Darkworks;http://upload.wikimedia.org/wikipedia/en/7/7f/Darkworkslogo.png;01/01/1998;Paris, France;Defunct;;http://www.darkworks.com/;Developer;"Darkworks S.A. was an independent video game developer and technology company based in Paris, France. The company is known for its games that include Alone in the Dark: The New Nightmare and Cold Fear.

Darkworks was founded in 1998 by Antoine Villette (President) and Guillaume Gouraud (General Manager and Artistic Director). The studio employed more than 100 people. In October 2011, the studio was placed into Compulsory liquidation and was closed"
Day 1 Studios ;http://upload.wikimedia.org/wikipedia/en/a/a6/Day1_studio.jpg;01/01/2001;Chicago, Illinois;Independent;40;http://www.day1studios.com/;Developer;"Day 1 Studios is an American game developer that operates in Chicago, Illinois and Hunt Valley, Maryland.

They worked in tandem with developer FASA Interactive to create their first two games MechAssault, which Microsoft used to promote their Xbox Live service, and MechAssault 2: Lone Wolf. They worked with Monolith Productions to make the Xbox 360 and PlayStation 3 console ports of F.E.A.R..

In 2006, they signed a deal with LucasArts to develop science fiction video game Fracture. It had mixed reviews by the gaming press. In 2010, Warner Bros. Interactive Entertainment announced that they would be developing the third installment in the F.E.A.R. franchise entitled F.E.A.R. 3. and first announced using the title F.3.A.R. which was later confirmed as just for advertising."
Dead Mage Inc ;http://deadmage.com/wp-content/themes/perfectblemish/images/logo.jpg;01/01/2010;Pasadena, TX ;Independent;;http://deadmage.com/;Developer;Dead Mage Inc. is an independent game studio based in Pasadena, TX. It was founded in 2010.
Deck13 Interactive ;http://upload.wikimedia.org/wikipedia/en/thumb/2/28/Deck13_Interactive_logo_.png/256px-Deck13_Interactive_logo_.png;01/01/2001;Frankfurt, Germany ;Public;24;http://deck13.com/;Developer;Deck13 Interactive is a German video game company based in Frankfurt, Germany. They are best known for adventure games like Ankh, Ankh: Heart of Osiris and Jack Keane.
Deep Red Games ;http://media.giantbomb.com/uploads/13/136140/2097613-450268_large.jpeg;01/01/1998;Milton Keynes, United Kingdom;Independent;;http://www.drstudios.co.uk/;Developer;DR Studios (formerly known as Deep Red Games) is a video game developer based in Milton Keynes in the United Kingdom. Deep Red primarily develops strategy games, such as Tycoon City: New York. The company was formed in 1998 by Kevin Buckner and Clive Robert, and since then they have released nine games. In 2007 due to management buyout, the name was changed to DR Studios.
Deep Shadows;http://media.giantbomb.com/uploads/0/7438/839489-s_32_01_thumb.jpg;01/01/2001;;Independent;;http://www.deep-shadows.com/;Developer;
Deep Silver;http://media.giantbomb.com/uploads/0/3161/261774-deep_silver_logo_banner_qjpreviewth_thumb.jpg;01/01/2002;Munich, Germany ;Public;;http://www.deepsilver.net/;Publisher & Developer;Deep Silver is Koch Media's video game label. Founded in 2002, it has published and co-published some major titles.  Deep Silver has released more than two hundred games since 2003
Demiurge Studios ;http://media.giantbomb.com/uploads/0/1992/1878943-demiurge_large.png;01/01/2002;Cambridge, Massachusetts, U.S.;Private company;;http://www.demiurgestudios.com/;Developer;"Demiurge Studios is an American video game developer company, founded in 2002 by Albert Reed, Chris Linder and Tom Lin. It is located in Cambridge, Massachusetts.  The company has assisted in helping other developers, such as Electronic Arts, Epic Games, Gearbox Software and THQ  create multiplayer maps for their games, but are mostly famous for porting Mass Effect to Microsoft Windows, released in May 2008.

Demiurge Studios worked co-operatively on Green Day: Rock Band with Harmonix and Electronic Arts. 

Demiurge Studios has announced the release of their in house project ""Shoot Many Robots"" to be released in early 2012"
Destan Entertainment;http://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Destan_logo.png/250px-Destan_logo.png;01/01/2003;Cracow, Poland ;Private company;;http://destan.pl/;Developer;"Destan Entertainment is a computer game developer from Poland established in 2003. It cooperates with Teyon, video games producer and online publisher.

During last years it has made 3D and 2D render technology for both modern (Destan Engine 2.0) and older computers (Destan Engine 1.0). Besides rendering technology Destan team is focused on physics, sound, network and development tools.

At the same time it has been working with Teyon on budget line of PC games based on a mentioned technology. Destan Entertainment's games have been published in many countries including Poland, Germany, Switzerland, Austria, UK, France, USA, Canada, Russia, The Ukraine, India, Spain, Italy and many others."
Destination Games ;http://upload.wikimedia.org/wikipedia/en/9/9a/Destination_Games_logo.png;04/01/2000;Austin, Texas, USA;Subsidiary of Ncsoft;;http://www.destination-games.com/;Developer;"Destination Games was a computer game development company created in April 2000 by Richard Garriott, Robert Garriott and Starr Long, following their departure from Origin Systems. (""Destination"" is a play on ""Origin"", the company the Garriotts founded nearly two decades earlier.)

Destination was founded in Austin, Texas to develop massively multiplayer online role-playing games. At E3 2001, Richard Garriott announced a partnership making Destination the United States headquarters of South Korean MMORPG giant NCsoft. As NCsoft Austin, Destination has mainly focused on developing and supporting the North American version of NCsoft's Lineage games.

In 2007 Destination Games released its first game, Tabula Rasa, a sci-fi MMORPG. The game did not sell as well as was hoped, Richard Garriott left NCsoft in 2008,  and the game service closed in February 2009. The Destination Games website was taken down when NCsoft moved its United States headquarters from Austin to Seattle—calling it NCsoft West—in 2008. 

NCsoft Austin employed five people to run the casual MMOG Dungeon Runners, but announced in 2009 that support for this game will be ending in early 2010 due to low subscription numbers.  As of October 2009, NCsoft employs about 150 people in the former Destination Games office in Austin mainly working in server operations, quality assurance, and customer support for various NCSoft MMO titles, however development operations have moved completely to other NCSoft subsidiaries on the West Coast.  The trademark Destination Games still remains a property of NCSoft."
devCAT ;http://images3.wikia.nocookie.net/__cb20080914153423/mabinogi/ko/images/5/55/Devcat_A.png;;;subsidiary of Nexon;;http://devcat.nexon.com/;Developer;devCAT, an internal studio of Korean free-to-play game publisher Nexon.
Devolver Digital ;http://media.giantbomb.com/uploads/0/1099/1069082-logo_large.jpg;;;Private company;;http://www.devolverdigital.com/;Publisher;Devolver Digital is an American video game publisher primarily associated with the Serious Sam series. Devolver is a small  company based in Austin, Texas. The company was founded by Mike Wilson and Harry Miller, two of the founders of Gathering of Developers and Gamecock.
Digital Anvil ;http://upload.wikimedia.org/wikipedia/en/thumb/0/05/Digital_Anvil.jpg/150px-Digital_Anvil.jpg;01/01/1996;Austin, Texas;Defunct;;http://replay.waybackmachine.org/19980707234450/http://www.digitalanvil.com/;Publisher;"Digital Anvil was a computer game company. It was founded in 1996, when Wing Commander creator Chris Roberts left Origin Systems, Inc., along with Erin Roberts, Eric Peterson, John Miles, Tony Zurovec and many other employees.

According to Chris Roberts, Digital Anvil was created to bring back the ""small-team"" element that characterized the computer gaming industry throughout the 1980s. Four titles were initially announced: Conquest: Frontier Wars, a Command & Conquer-style game set in space; Loose Cannon, a racing game similar to the later Driver and Grand Theft Auto games; Starlancer, a space combat game in the Wing Commander tradition, and the company's flagship, Freelancer, an ambitious unofficial follow up to Wing Commander: Privateer.

The first game to be released by Digital Anvil was Starlancer, developed in partnership with Warthog Games. It was, released by Microsoft to very solid reviews, and overall sales were decent with around 700,000 units sold.

Digital Anvil was purchased by Microsoft on 5 Dec 2000.  One of the consequences of this action was a reshuffling of titles being developed. Conquest: Frontier Wars and Loose Cannon were dropped by the company, eventually being picked up by Ubisoft Entertainment. Conquest was eventually released in 2001, but Loose Cannon has not yet been released and it remains doubtful it ever will be. Many of the Digital Anvil staff working on Loose Cannon were reassigned to the company's flagship Freelancer. Brute Force (still unannounced at the time) was switched from a computer game to an Xbox exclusive. Of all the projects being produced, only Freelancer escaped major change. Co-founder Chris Roberts left the company after the Microsoft takeover, but he still worked as a consultant on Freelancer.

Digital Anvil also made the visual effects of the 1999 film Wing Commander (see imdb: Wing Commander (1999) under ""Visual Effects by"", also in the film's credits).

For the next year, Digital Anvil was mostly silent, and many wondered whether any games from the company would see the light of day. Then, in 2001, Digital Anvil revealed a lighter Freelancer to the gaming press. Although some of the more ambitious elements were dropped, this act proved Freelancer was not vaporware.

In March 2003, Freelancer was released and immediately became one of the month's top-selling games. Reviews were mixed, but the game did well commercially. In May of the same year, Digital Anvil released Brute Force for the Xbox. The game also did quite well, setting first-month sales records for Xbox games.

In November 2005, Microsoft redeployed the developer's employees to its Microsoft Game Studios headquarters. Digital Anvil was officially dissolved on January 31, 2006. 

Key staff from Digital Anvil then teamed up together with staff from Warthog Games (Now known as Gizmondo) to form Embryonic Studios, which was later acquired by TT Games in 2007 to become TT Fusion."
Digital Extremes ;http://en.wikipedia.org/wiki/File:Digital_Extremes_Logo.jpg;01/01/1993;London, Ontario, Canada;Private company;170;http://www.digitalextremes.com/;Developer;Digital Extremes is a Canadian computer and video game developer founded in 1993 by James Schmalz, best known for its co-creation of Epic Games' highly successful Unreal series of games. Digital Extremes is headquartered in London, Ontario
Digital Image Design ;http://media.giantbomb.com/uploads/13/136140/2098477-784688_large.gif;01/01/1989;Runcorn, Cheshire, England;Defunct;;;Developer;"Digital Image Design was a British video game developer founded by Martin Kenwright and Phillip Allsopp in 1989 and was originally based in Runcorn, Cheshire, England. The company had employed around eighty developers who specialized in areas of software and simulation. Digital Image Design had titles published by Ocean Software, and later the company expanded following the release of TFX, Inferno, and EF2000 and subsequently moved offices to Warrington.

During this period, the technology from one of its products was spun off into a military laser designation simulator.

After being taken over by Infogrames, key members of staff including Kenwright and Mick Hocking, left to form Evolution Studios. The company was subsequently sold to Rage Games Limited, at which point a large portion of the management and staff revolted. Those staff not in revolt joined Infogrames in Manchester, England. After the demise of Rage Games Limited, a company called Juice Games appeared in the same Warrington office, with some key members of staff."
Digital Jesters;http://media.giantbomb.com/uploads/5/58689/1129907-446499_large.jpeg;01/01/2003;Welwyn Garden City, Hertfordshire;Defunct;;http://www.digitaljesters.com/;Publisher;"Digital Jesters was a British video game publisher, based in Welwyn Garden City, Hertfordshire. The company was founded in 2003 by veterans from CDV UK (after the UK office was shut by CDV), and their first UK-releases were TrackMania and Virtual Skipper 3, both by Nadeo.

In the beginning, they concentrated on the UK market only, but began publishing games in other regions as well. Notable releases included TrackMania Sunrise (UK & Scandinavia), Freedom Force vs. the Third Reich (UK & Scandinavia), the Pro Rugby Manager-series (UK) and Chaos League (UK).

Despite a well publicised investment,  on 22 December 2005 a winding-up order was made against the company in the Birmingham District Registry of the UK High Court on the petition of Kaoscontrol Limited.   This followed a period where the company was accused of withholding payments to various developers  they had worked with, resulting in some developers terminating contracts with the publisher.  Their website disappeared soon after.[citation needed]

The last game the company released was a racing game based on the Crazy Frog-license in November 2005."
Digital Reality ;http://media.giantbomb.com/uploads/5/56686/1828248-header_large.png;01/01/1991;Budapest, Hungary ;Private company;;http://www.digitalreality.eu/;Developer;Digital Reality is a Hungarian video game developer, located in Budapest, Hungary. The company is best known for developing the game Imperium Galactica series and Haegemonia: Legions of Iron.
Digital River GmbH;;;;;;;;
Digital Spray Studios ;http://media.giantbomb.com/uploads/13/136140/2099051-499088_large.gif;01/01/2001;Kiev, Ukraine;Independent;;http://www.digitalspray.com/;Developer;Digital Spray Studios is a development studio founded in 2001. The company is located in Kiev, Ukraine, and since 2002 has been developing computer games and gaming technology. The studio has released two titles, You Are Empty (2006) and Instinct (2007), both first-person shooters. The studio uses an in-house developed engine called DS2 Engine. The studio's first project was The Triangle with gameplay reminiscent of Serious Sam, but after a demo it was scrapped in favour of working on You Are Empty.
